experiment,scenario,family,algorithm,parameter_name,parameter_value,horizon,n_runs,mean_final_regret,std_final_regret,mean_final_reward,mean_final_optimal_arm_rate,sem_final_regret
environment_sweep,multi_breakpoint,SW-TS,SW-TS W=2000,window,2000,10000,30,267.4146666666667,39.0592236211251,1300.5,0.5172,7.131205951976278
environment_sweep,multi_breakpoint,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,10000,30,309.44233333333335,22.35923394581483,1259.1,0.4176066666666667,4.082218933552675
environment_sweep,multi_breakpoint,DS-TS,DS-TS gamma=0.99,gamma,0.99,10000,30,408.3706666666667,7.9026900410592855,1158.3333333333333,0.29875666666666667,1.4428272001531994
environment_sweep,multi_breakpoint,Baseline,Thompson Sampling,none,none,10000,30,439.896,41.612070994049226,1126.9333333333334,0.3002266666666667,7.597289982649061
environment_sweep,multi_breakpoint,SW-UCB,SW-UCB W=500,window,500,10000,30,445.194,7.642167773339048,1121.3333333333333,0.26137333333333335,1.3952625592322745
environment_sweep,multi_breakpoint,D-UCB,D-UCB gamma=0.99,gamma,0.99,10000,30,478.34666666666664,2.96180785114876,1088.9666666666667,0.23105666666666666,0.5407496570233598
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,10000,30,192.06766666666667,34.93580839426676,1312.7333333333333,0.6442066666666667,6.378376774072747
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,10000,30,279.71199999999993,24.223609514914067,1222.8666666666666,0.4757633333333333,4.422605785171736
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,10000,30,333.52666666666664,81.7297811054222,1171.9333333333334,0.5390533333333334,14.921748243799751
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,10000,30,401.58666666666664,10.442901675410871,1103.7333333333333,0.29997,1.9066042711436755
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,10000,30,435.6833333333333,4.6658061604010905,1071.8666666666666,0.26171666666666665,0.8518557609994148
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,10000,30,468.15599999999995,2.814857869873051,1035.3,0.22909,0.5139203838334705
environment_sweep,small_gap_reversal,SW-TS,SW-TS W=2000,window,2000,10000,30,129.44000000000008,18.220635894880118,1270.6,0.3847833333333333,3.326617763904723
environment_sweep,small_gap_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,10000,30,158.50566666666677,10.335767720291324,1238.5333333333333,0.29936666666666667,1.8870443765124347
environment_sweep,small_gap_reversal,Baseline,Thompson Sampling,none,none,10000,30,173.51833333333343,26.13653462022124,1223.9333333333334,0.3039366666666667,4.771856528836631
environment_sweep,small_gap_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,10000,30,181.69366666666676,5.420532791813591,1216.0333333333333,0.24126666666666666,0.9896493612575861
environment_sweep,small_gap_reversal,SW-UCB,SW-UCB W=500,window,500,10000,30,188.78233333333344,2.603694567782255,1210.4666666666667,0.22258333333333333,0.47536741587600156
environment_sweep,small_gap_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,10000,30,194.4276666666668,1.2026599351189162,1202.0666666666666,0.21136666666666667,0.21957465849077665
environment_sweep,smooth_sinusoidal,SW-TS,SW-TS W=2000,window,2000,10000,30,209.19418604741546,23.82731504078782,1283.8,0.33398333333333335,4.350252644207205
environment_sweep,smooth_sinusoidal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,10000,30,219.3919870402094,17.538819495536945,1272.9,0.3448533333333333,3.202135689905654
environment_sweep,smooth_sinusoidal,Baseline,Thompson Sampling,none,none,10000,30,271.46464652463163,31.654384515138258,1220.2,0.25410666666666665,5.779273480961152
environment_sweep,smooth_sinusoidal,DS-TS,DS-TS gamma=0.99,gamma,0.99,10000,30,285.7920509896058,6.554811915301747,1208.6666666666667,0.2597733333333333,1.1967394487381364
environment_sweep,smooth_sinusoidal,SW-UCB,SW-UCB W=500,window,500,10000,30,304.1096512149427,4.264752961154903,1189.4666666666667,0.23986000000000002,0.778633799670498
environment_sweep,smooth_sinusoidal,D-UCB,D-UCB gamma=0.99,gamma,0.99,10000,30,322.72304070644554,2.0727421487850646,1169.8333333333333,0.21992333333333333,0.37842921026043636
