experiment,scenario,family,algorithm,parameter_name,parameter_value,seed,horizon,final_regret,final_reward,final_optimal_arm_rate
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,52026,10000,239.78999999999996,1243.0,0.5804
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,52026,10000,468.69999999999993,1044.0,0.2271
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,52026,10000,443.35999999999996,1021.0,0.2552
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,52026,10000,407.59,1068.0,0.2915
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,52026,10000,216.48000000000002,1263.0,0.6032
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,52026,10000,290.39,1186.0,0.4409
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,52027,10000,401.96,1078.0,0.4192
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,52027,10000,470.00999999999993,1002.0,0.2273
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,52027,10000,429.17999999999995,1051.0,0.2654
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,52027,10000,403.59,1104.0,0.3027
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,52027,10000,206.55999999999997,1305.0,0.6135
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,52027,10000,310.64,1197.0,0.4211
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,52028,10000,374.78,1162.0,0.5385
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,52028,10000,467.27,1092.0,0.2278
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,52028,10000,437.96999999999997,1114.0,0.2611
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,52028,10000,385.27,1169.0,0.3283
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,52028,10000,139.98,1425.0,0.7429
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,52028,10000,244.08999999999997,1316.0,0.5534
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,52029,10000,375.38,1091.0,0.4348
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,52029,10000,465.28999999999996,1027.0,0.2352
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,52029,10000,432.42999999999995,1060.0,0.2729
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,52029,10000,406.89,1089.0,0.2941
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,52029,10000,210.45,1259.0,0.6341
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,52029,10000,279.59,1217.0,0.4635
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,52030,10000,411.88999999999993,1055.0,0.4486
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,52030,10000,465.88999999999993,1017.0,0.2291
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,52030,10000,431.73999999999995,1081.0,0.266
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,52030,10000,395.4799999999999,1119.0,0.308
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,52030,10000,169.29999999999998,1305.0,0.7135
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,52030,10000,237.15999999999997,1255.0,0.5457
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,52031,10000,410.8399999999999,1113.0,0.403
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,52031,10000,469.91999999999996,1029.0,0.2247
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,52031,10000,433.49,1086.0,0.2614
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,52031,10000,403.2,1094.0,0.2983
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,52031,10000,222.26999999999998,1297.0,0.5883
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,52031,10000,276.94999999999993,1244.0,0.4839
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,52032,10000,207.73,1287.0,0.669
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,52032,10000,469.50999999999993,1036.0,0.2261
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,52032,10000,429.59999999999997,1106.0,0.2666
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,52032,10000,391.67999999999995,1136.0,0.3131
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,52032,10000,251.11999999999998,1269.0,0.4608
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,52032,10000,293.58,1226.0,0.4408
environment_sweep,single_reversal,Baseline,Thompson Sampling,none,none,52033,10000,299.98999999999995,1145.0,0.5228
environment_sweep,single_reversal,D-UCB,D-UCB gamma=0.99,gamma,0.99,52033,10000,472.25999999999993,979.0,0.2224
environment_sweep,single_reversal,SW-UCB,SW-UCB W=500,window,500,52033,10000,435.75999999999993,1006.0,0.2648
environment_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,52033,10000,420.76,1007.0,0.2808
environment_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,52033,10000,235.02999999999997,1196.0,0.4808
environment_sweep,single_reversal,Adaptive-SW-TS,Adaptive-SW-TS,threshold_cooldown,0.04|300,52033,10000,283.23,1131.0,0.4726
