experiment,scenario,family,algorithm,parameter_name,parameter_value,seed,horizon,final_regret,final_reward,final_optimal_arm_rate
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42026,10000,353.49999999999994,1102.0,0.5681
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42026,10000,470.60999999999996,1002.0,0.2258
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42026,10000,460.9599999999999,1000.0,0.2324
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42026,10000,406.37999999999994,1060.0,0.279
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42026,10000,372.78999999999996,1102.0,0.3338
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42026,10000,343.5,1106.0,0.3965
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42026,10000,258.28999999999996,1207.0,0.5314
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42026,10000,237.41,1233.0,0.5183
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42026,10000,200.84999999999997,1257.0,0.6412
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42027,10000,259.09,1205.0,0.6931
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42027,10000,467.26,1014.0,0.2285
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42027,10000,441.9,1048.0,0.2576
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42027,10000,386.72999999999996,1091.0,0.3228
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42027,10000,356.3299999999999,1116.0,0.3627
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42027,10000,348.64,1136.0,0.3735
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42027,10000,262.98999999999995,1215.0,0.483
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42027,10000,224.97999999999996,1253.0,0.5937
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42027,10000,166.48,1320.0,0.682
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42028,10000,280.53999999999996,1249.0,0.6246
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42028,10000,473.34999999999997,1047.0,0.2207
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42028,10000,458.94999999999993,1074.0,0.2361
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42028,10000,396.66999999999996,1142.0,0.3082
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42028,10000,357.28999999999996,1183.0,0.3515
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42028,10000,347.77,1170.0,0.3539
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42028,10000,304.79999999999995,1219.0,0.4245
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42028,10000,190.78999999999996,1353.0,0.6537
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42028,10000,155.34999999999997,1372.0,0.728
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42029,10000,364.2599999999999,1117.0,0.5422
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42029,10000,462.51,1005.0,0.2344
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42029,10000,453.63,1017.0,0.2464
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42029,10000,402.31999999999994,1058.0,0.299
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42029,10000,355.89,1103.0,0.3364
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42029,10000,357.49,1088.0,0.3686
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42029,10000,248.40999999999997,1221.0,0.5207
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42029,10000,236.21999999999997,1254.0,0.5221
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42029,10000,190.45,1281.0,0.6496
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42030,10000,469.41999999999996,1047.0,0.4333
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42030,10000,467.63999999999993,1043.0,0.2307
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42030,10000,453.00999999999993,1069.0,0.2481
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42030,10000,402.96999999999997,1118.0,0.2942
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42030,10000,323.96999999999997,1213.0,0.4076
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42030,10000,361.71,1175.0,0.3066
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42030,10000,312.65999999999997,1209.0,0.3893
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42030,10000,191.29999999999998,1339.0,0.6496
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42030,10000,175.89999999999998,1355.0,0.6895
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42031,10000,151.49999999999997,1338.0,0.7984
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42031,10000,468.31999999999994,1027.0,0.2263
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42031,10000,459.3599999999999,1038.0,0.2422
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42031,10000,403.92999999999995,1090.0,0.2987
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42031,10000,360.3399999999999,1120.0,0.3616
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42031,10000,356.72,1131.0,0.3703
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42031,10000,259.54999999999995,1221.0,0.5008
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42031,10000,195.92999999999998,1285.0,0.6415
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42031,10000,164.45,1306.0,0.678
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42032,10000,385.03999999999996,1118.0,0.1997
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42032,10000,467.87999999999994,1027.0,0.2296
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.97,gamma,0.97,42032,10000,450.9599999999999,1069.0,0.245
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.99,gamma,0.99,42032,10000,400.89,1100.0,0.3033
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.995,gamma,0.995,42032,10000,347.55999999999995,1147.0,0.3553
forgetting_sweep,single_reversal,SW-TS,SW-TS W=200,window,200,42032,10000,360.5,1125.0,0.3476
forgetting_sweep,single_reversal,SW-TS,SW-TS W=500,window,500,42032,10000,285.90999999999997,1182.0,0.4422
forgetting_sweep,single_reversal,SW-TS,SW-TS W=1000,window,1000,42032,10000,255.19,1221.0,0.4651
forgetting_sweep,single_reversal,SW-TS,SW-TS W=2000,window,2000,42032,10000,264.24,1208.0,0.4562
forgetting_sweep,single_reversal,Baseline,Thompson Sampling,none,none,42033,10000,456.8999999999999,1020.0,0.4585
forgetting_sweep,single_reversal,DS-TS,DS-TS gamma=0.95,gamma,0.95,42033,10000,466.28999999999996,1022.0,0.2344
